,sla,lnm,lls,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,0.0283644175184,24.1646584964,0.588004674654,1177.14172363,1121.12207031,1063.38525391,1149.52526855,1221.81176758,1104.63049316,1050.54748535,1036.14440918,1164.01147461,1086.53466797,1231.42980957,1097.20471191,1250.33886719,1068.63623047,1063.76257324
1,0.0356582755426,24.3141228576,0.927010712915,1161.49963379,1113.60449219,1044.77661133,1124.71813965,1202.78564453,1095.72314453,1057.35986328,1027.83532715,1127.71923828,1067.45471191,1220.75195312,1088.47473145,1239.32702637,1051.72607422,1041.48168945
2,0.0271888517243,21.7525108618,0.954132370932,1149.39355469,1111.57067871,1028.89465332,1104.36523438,1184.14941406,1088.98840332,1067.97180176,1031.45349121,1096.14697266,1055.18920898,1212.11853027,1080.96435547,1240.96496582,1046.03125,1024.70275879
3,0.0232729375534,15.8665562169,0.226494485814,1203.24926758,1133.96813965,1092.48022461,1197.96362305,1265.64672852,1122.40368652,1055.24682617,1065.52832031,1239.67883301,1120.24853516,1243.58520508,1115.7947998,1287.60217285,1107.01379395,1100.72583008
4,0.0245207312298,24.8480457015,0.300013499014,1240.30322266,1206.61279297,1163.62255859,1227.90844727,1268.80322266,1152.09289551,1093.51696777,1132.28759766,1338.31848145,1129.37658691,1214.34130859,1184.03845215,1407.203125,1139.63183594,1090.77319336
5,0.0668467759305,14.6466084074,0.25636157765,1171.81237793,1104.14685059,1054.07861328,1152.05737305,1223.87280273,1094.00146484,1032.06274414,1026.78222656,1180.9822998,1095.0435791,1220.31103516,1083.02612305,1238.10986328,1070.15759277,1069.05053711
6,0.0369985814991,35.2593406919,1.87195728323,1192.35339355,1133.75292969,1057.56359863,1156.63671875,1220.52197266,1116.58654785,1107.55566406,1081.95227051,1142.89648438,1085.52001953,1251.12329102,1116.00268555,1296.81005859,1068.54528809,1060.45715332
7,0.0396879968923,19.7751147808,0.792436456477,896.289428711,896.464111328,802.521606445,839.086791992,897.504760742,889.152648926,880.130859375,852.614257812,832.256591797,819.079956055,947.960083008,852.098876953,969.041931152,842.935668945,793.07208252
8,0.0626007433542,22.0864997349,0.4539983864,1220.59899902,1167.86120605,1092.80126953,1184.99072266,1265.44506836,1142.70532227,1111.50769043,1090.39868164,1187.15307617,1118.26879883,1278.93847656,1142.69934082,1313.7512207,1105.04626465,1093.69335938
9,0.0210867585246,16.2231085331,0.363525145474,996.968078613,964.179748535,890.463867188,955.460449219,1001.75939941,956.728881836,962.123657227,930.65625,936.763427734,911.62487793,1055.68188477,939.468200684,1085.51525879,908.056762695,884.557006836
